rank	bare	toned
613	gbongbo	gbòǹgbò
614	buburu	búburú
615	panti	pàǹtí
616	akọbi	àkọ́bí
617	mẹjọ	mẹ́jọ
618	iyẹ	ìyẹ́
619	igbadun	ìgbádùn
622	idagbasoke	ìdàgbàsókè
623	jiya	jìyà
624	orisun	orísun
625	igbesẹ	ìgbésẹ̀
627	ẹgbaa	ẹgbàá
628	jin	jìn
630	ipari	ìparí
633	paṣẹ	pàṣẹ
634	pẹlẹ	pẹ̀lẹ́
637	ewo	èwo
638	ọkẹ	ọ̀kẹ́
639	afojudi	àfojúdi
641	elubọ	èlùbọ́
643	okuta	òkúta
644	igo	ìgò
646	akisa	àkísà
654	ohunkohun	ohunkóhun
656	babalawo	babaláwo
658	kii	kíì
659	gbera	gbéra
661	ikede	ìkéde
663	abẹrẹ	abẹ́rẹ́
664	baale	baálé
666	gbese	gbèsè
668	ofi	òfì
671	ikọkọrẹ	ìkọ́kọrẹ́
673	ilera	ìlera
676	ojoojumọ	ojoojúmọ́
678	ipinnu	ìpinnu
679	tii	tíì
680	awodi	àwòdì
681	iyalẹnu	ìyàlẹ́nu
682	ẹgbẹrun	ẹgbẹ̀rún
683	opin	òpin
687	yanju	yanjú
693	wara	wàrà
694	orogbo	orógbó
695	iṣile	ìṣílé
696	too	tóò
697	oyun	oyún
700	apata	àpáta
701	agbọnrin	àgbọ̀nrín
704	gboju	gbójú
705	alagbẹdẹ	alágbẹ̀dẹ
709	isalẹ	ìsàlẹ̀
716	ibeji	ìbejì
717	papa	pápá
718	ranṣẹ	ránṣẹ́
719	aloku	àlòkù
722	ọfun	ọ̀fun
724	imale	ìmàle
725	aluko	àlùkò
726	baalẹ	baálẹ̀
727	alantakun	aláǹtakùn
728	amunisin	amúnisìn
731	ọtẹlẹmuyẹ	ọ̀tẹlẹ̀múyẹ́
732	ọlọja	ọlọ́jà
736	aparo	àparò
738	ayo	ayò
740	iṣelu	ìṣèlú
741	sunwọn	sunwọ̀n
744	agbagba	àgbagbà
746	kuru	kúrú
748	orule	òrùlé
749	ọtẹ	ọ̀tẹ̀
750	ololufẹ	olólùfẹ́
752	toro	tòrò
756	oloyin	olóyin
757	ojola	òjòlá
758	ọsin	ọ̀sìn
759	maluu	màlúù
761	kede	kéde
762	afẹfẹ	afẹ́fẹ́
763	afọju	afọ́jú
766	alaafia	àlàáfíà
767	saa	sáà
768	oloṣelu	olóṣèlú
770	adiyẹ	adìyẹ
771	kilọ	kìlọ̀
772	jibiti	jìbìtì
773	laisi	láìsí
774	okiki	òkìkí
775	ṣọwọn	ṣọ̀wọ́n
777	ọmuti	ọ̀mùtí
778	irẹ	ìrẹ̀
780	kanga	kànga
781	abi	àbí
782	yala	yálà
784	ọkin	ọ̀kín
785	daji	dájì
786	ẹgẹ	ẹ̀gẹ́
787	ọbun	ọ̀bùn
788	itosi	ìtòsí
789	ogongo	ògòǹgò
790	lojiji	lójijì
791	etutu	ètùtù
793	anfaani	àǹfààní
795	isa	isà
797	rogbodiyan	rògbòdìyàn
798	imado	ìmàdò
799	dinku	dínkù
801	ojumọ	ojúmọ́
808	epe	èpè
809	ofuurufu	òfuurufú
811	ifẹhonuhan	ìfẹ̀hónúhàn
812	atilẹyin	àtìlẹ́yìn
813	pata	pátá
814	fidio	fídíò
816	ilẹkẹ	ìlẹ̀kẹ̀
818	ariyanjiyan	àríyànjiyàn
819	gbẹgiri	gbẹ̀gìrì
822	ferese	fèrèsé
823	iṣẹju	ìṣẹ́jú
827	gaari	gàárì
828	ẹgusi	ẹ̀gúsí
829	ṣeto	ṣètò
832	ọyẹ	ọyẹ́
833	lekeleke	lékeléke
835	kuna	kùnà
836	itakun	ìtàkùn
839	adaba	àdàbà
841	ajọṣepọ	àjọṣepọ̀
842	iwuri	ìwúrí
844	aran	àrán
847	ogboni	ògbóni
848	ọkọọkan	ọ̀kọ̀ọ̀kan
849	niwaju	níwájú
850	akọbulọọgu	akọbúlọ́ọ̀gù
851	alatilẹyin	alátìlẹ́yìn
852	idije	ìdíje
854	koo	kóò
855	tuka	túká
856	ṣibi	ṣíbí
859	kaa	káà
860	igberiko	ìgbèríko
861	apari	apárí
862	aake	àáké
864	afinju	afínjú
866	apọnle	àpọ́nlé
867	ọmọluwabi	ọmọlúwàbí
868	irinṣẹ	irinṣẹ́
873	akan	akàn
875	araye	aráyé
876	arokọ	àròkọ
880	ootọ	òótọ́
882	afikun	àfikún
883	iyara	iyàrá
885	roro	rorò
886	ekute	èkúté
887	jaye	jayé
889	difa	dífá
890	ase	àsè
891	ipalara	ìpalára
892	ẹku	ẹ̀kú
893	gbeja	gbèjà
894	polowo	polówó
900	aboyun	aboyún
903	adun	adùn
905	lemọmu	lèmọ́mù
906	obukọ	òbúkọ
907	obo	òbò
908	akọọlẹ	àkọọ́lẹ̀
909	mooru	móoru
911	ẹlẹja	ẹlẹ́ja
914	laakaye	làákàyè
915	kakiri	kákiri
918	ekolo	ekòló
