rank	word	pos	en
1	bir	det	a, an (before a noun); one (the number)
2	bu	pron	this
3	ne	pron	what; how, what a…! (in exclamations); ne…ne… neither…nor
4	ve	conj	and (joining words, phrases or whole clauses)
5	için	postp	with the aim of, as a result of, for
6	mi	particle	Used to form interrogatives.
7	de	conj	too, also; and, and then; say! (command from demek)
8	o	pron	he, she, it
9	ben	pron	I, me
10	çok	det	much, many, plenty, a lot
11	ama	conj	but; however
12	var	adj	there is, there are; have, has (with a possessor); present, available
13	evet	intj	yes; yes, that's right (agreeing or confirming); right then, so (opening a turn)
14	da	conj	as well, too, also
15	şey	noun	thing; uh, you know (used to refer to something one cannot remember at the moment)
16	mı	particle	Used to form interrogatives.
17	değil	adv	not (negates meaning of the verb *imek)
18	iyi	adj	good; well (with a verb); fine, in good health
19	hayır	intj	no; no, thank you (declining); as a noun (hayr-): good, benefit, charity
20	daha	adv	forms the comparative of the following adjective
21	sen	pron	you (singular, informal), thou
22	kadar	postp	Equal in amount or quantity; as much as.
23	bana	pron	me, to me, for me (dative of ben)
24	yok	adj	there is no, there aren't; doesn't have; no (as an answer)
25	tamam	intj	OK, all right, agreed; complete, whole; done, finished
26	gibi	postp	like, similar to
27	bunu	pron	this; this one; it (bu as the object of a verb)
28	onu	pron	him; her; it; that one (o as the object of a verb)
29	beni	pron	me (ben as the object of a verb: beni bekle, wait for me)
30	seni	pron	you (singular, informal, as the object of a verb: seni seviyorum, I love you)
31	zaman	noun	time (progression into the future with the passing of present and past events)
32	her	det	every; each
33	benim	pron	my; mine; it's me, I am the one (as a predicate)
34	sana	pron	to you; for you (singular, informal; also 'you' after verbs that take the dative)
35	ki	conj	so that, so; that
36	ya	intj	Expression of surprise or confusion.
37	neden	adv	why; what for; reason, cause (as a noun)
38	sadece	adv	only, just
39	senin	pron	your; yours (singular, informal)
40	burada	adv	here
41	nasıl	adv	how (in what manner)
42	olduğunu	verb	that (someone or something) is, or was (introduces a 'that…' clause after know, say, think)
43	hiç	adv	Used to emphasize the verb in negative sentences; not at all, not in the least, no, any.
44	sonra	adv	later, after, afterwards, post-
45	şimdi	adv	now; just now
46	en	noun	width; a cachet on an animal or bonded goods
47	öyle	adj	like that, similar to (something).
48	mu	particle	Used to form interrogatives.
49	biraz	adv	a bit, a little
50	şu	det	that, that over there
51	misin	particle	second-person singular simple of mi
52	önce	adv	before
53	hadi	interjection	come on!, let's go!
54	bak	verb	second-person singular imperative of bakmak
55	güzel	adj	beautiful; nice
56	musun	particle	second-person singular of mu
57	oldu	verb	third-person singular indicative simple past of olmak
58	yani	intj	in other words; er, so, uh, well
59	böyle	det	such; like this (that, these, those)
60	ona	pron	dative singular of o: to him/her/it
61	olan	verb	subject non-past participle of olmak
62	lütfen	adv	please; unwillingly, halfheartedly
63	işte	intj	"""lo! there it is"", ta-da, presto, voilà"
64	onun	pron	genitive singular of o
65	bile	adv	together, with
66	kim	pron	who
67	çünkü	conj	because
68	peki	intj	okay; well
69	eğer	conj	if (supposing that)
70	artık	noun	excess, surplus.
71	gerçekten	adv	really, for real
72	başka	adj	another; different
73	geri	adj	back; stupid
74	biliyorum	verb	first-person singular present continuous of bilmek
75	biri	noun	accusative singular of bir
76	istiyorum	verb	first-person singular indicative present continuous of istemek
77	tek	adj	single, sole, only
78	iki	num	two
79	olarak	adv	being, as
80	belki	adv	maybe, possibly, probably
81	in	noun	lair, den, burrow
82	doğru	adj	true; right (correct)
83	bay	noun	gentleman; Mr.
84	olacak	verb	third-person singular indicative future of olmak
85	büyük	adj	big, grand, large
86	olur	verb	third-person singular indicative aorist of olmak
87	yardım	noun	help
88	adam	noun	human; man (adult male human)
89	demek	verb	to say; to assume, to suppose
90	hiçbir	adj	no, none; any
91	gün	noun	day; sun (light and warmth received from the sun)
92	biz	pron	we (subject form)
93	ile	postp	with
94	iş	noun	work, task, deed
95	yüz	num	hundred
96	bilmiyorum	phrase	I don't know
97	tüm	adj	entire, complete
98	bunun	pron	genitive singular of bu
99	teşekkürler	noun	nominative plural of teşekkür
100	yeni	adj	new; recent
101	fazla	adj	much, many
102	kız	noun	girl; daughter
103	insan	noun	human; a humane person
104	ederim	verb	first-person singular indicative aorist of etmek
105	nerede	adv	where, in what place
106	son	adj	last, final
107	tanrım	noun	first-person singular possessive of tanrı
108	şeyi	noun	accusative singular of şey
109	merhaba	intj	hello, hi
110	efendim	noun	first-person singular possessive of efendi
111	orada	adv	singular locative of ora: there
112	ol	verb	second-person singular imperative of olmak
113	sorun	noun	problem, difficulty, issue
114	kötü	adj	bad; bad, evil
115	şeyler	noun	plural of şey
116	gece	noun	night
117	et	noun	The muscle and fat tissue in humans and animals; meat, flesh.
118	harika	adj	great, marvellous, fantastic, wonderful
119	gerek	adj	necessary, required
120	ilk	adj	first; pristine (pertaining to the earliest state of something)
121	dur	verb	second-person singular imperative of durmak
122	tam	adv	exactly; right when, right while
123	siz	pron	you (plural subject pronoun: the group being addressed); you guys, y'all
124	herkes	pron	everybody
125	bütün	det	entire, complete
126	kendi	pron	self, oneself; own
127	yol	noun	path, road, way
128	diye	adv	someone who is named ..., something which is called ...
129	yıl	noun	year; time unit equal to twelve months
130	hemen	adv	immediately, without delay
131	bayan	noun	(uncommon outside of certain contexts) Ms., Mrs., miss
132	olsun	verb	third-person singular imperative of olmak
133	küçük	adj	small, little; minor, of little importance
134	gel	verb	second-person singular imperative of gelmek
135	size	pron	dative of siz: you – plural or polite
136	aynı	adj	same; not changed, still in the same situation.
137	teşekkür	noun	a thanking
138	hakkında	postp	about, concerning
139	olm	noun	abbreviation of oğlum; bro
140	tabii	adj	natural, usual, ordinary
141	onları	pron	definite accusative plural of o
142	izin	noun	permission; leave of absence
143	yer	noun	place, location
144	hayat	noun	life; an open, gated courtyard
145	devam	noun	continuation
146	az	det	few, little
147	bize	pron	dative of biz
148	ver	verb	second-person singular imperative of vermek
149	anne	noun	mother
150	bizi	pron	accusative of biz (“we”); us
151	selam	intj	hi
152	baba	noun	father; saint
153	gerçek	adj	true, real; rightful, truthful
154	buna	pron	dative singular of bu
155	içinde	postp	in, within, inside
156	olmak	verb	to become, come to exist, come into being
157	vardı	verb	third-person singular indicative simple past of varmak
158	bizim	pron	genitive of biz (“our, ours”)
159	geldi	verb	third-person singular indicative simple past of gelmek
160	sizi	pron	accusative of siz
161	tekrar	adv	again
162	değilim	verb	I am not
163	mü	prep	Used to form interrogatives.
164	kimse	pron	somebody, anybody
165	göre	postp	according to, per
166	asla	adv	never (as a matter of principle or intent; compare hiç)
167	özür	noun	apology; disability
168	durum	noun	situation; status, condition
169	aslında	adv	actually
170	diğer	adj	other
171	önemli	adj	important (having relevant and crucial value)
172	git	verb	second-person singular imperative of gitmek
173	yoksa	conj	Used other than figuratively or idiomatically: see yok, -sa or ise.
174	hala	noun	paternal aunt (father’s sister)
175	oh	intj	exclamation of relief, joy, admiration, liking, etc.
176	mısın	particle	second-person singular simple of mı
177	yine	adv	again, still, yet
