word	rtgs	tone	phonetics
ตับ	tap	dtàp	tàp
ตัว	tua	dtuua	tua
ตัวกินมด	tua-kin-mot	dtuua-gin-mót	tua-kin-mót
ตัวตน	tua-ton	dtuua-dton	tua-ton
ตัวตลก	tua-ta-lok	dtuua-dtà-lòk	tua-tà-lòk
ตัวประกัน	tua-pra-kan	dtuua-bprà-gan	tua-prà-kan
ตัวร้าย	tua-rai	dtuua-ráai	tua-rái
ตัวละคร	tua-la-khon	dtuua-lá-kɔɔn	tua-lá-khon
ตัวอย่าง	tua-yang	dtuua-yàang	tua-yàng
ตัวอักษร	tua-ak-son	dtuua-àk-sɔ̌ɔn	tua-àk-sǒn
ตัวเมีย	tua-mia	dtuua-miia	tua-mia
ตัวเลข	tua-lek	dtuua-lêek	tua-lêk
ตัวเลือก	tua-lueak	dtuua-lʉ̂ʉak	tua-lûeak
ตัวเอง	tua-eng	dtuua-eeng	tua-eng
ตัวแทน	tua-thaen	dtuua-tɛɛn	tua-thaen
ตั้ง	tang	dtâng	tâng
ตั้งแต่	tang-tae	dtâng-dtɛ̀ɛ	tâng-tàe
ตั้งใจ	tang-chai	dtâng-jai	tâng-chai
ตั๊กแตน	tak-ka-taen	dták-gà-dtɛɛn	ták-kà-taen
ตั๋ว	tua	dtǔua	tǔa
ตา	ta	dtaa	ta
ตาบอด	ta-bot	dtaa-bɔ̀ɔt	ta-bòt
ตาม	tam	dtaam	tam
ตามที่	tam-thi	dtaam-tîi	tam-thî
ตามใจ	tam-chai	dtaam-jai	tam-chai
ตาย	tai	dtaai	tai
ตายห่า	tai-ha	dtaai-hàa	tai-hà
ตายโหง	tai-hong	dtaai-hǒong	tai-hǒng
ตารางเวลา	ta-rang-we-la	dtaa-raang-wee-laa	ta-rang-we-la
ตำนาน	tam-nan	dtam-naan	tam-nan
ตำรวจ	tam-ruat	dtam-rùuat	tam-rùat
ตำลึง	tam-lueng	dtam-lʉng	tam-lueng
ตำแหน่ง	tam-naeng	dtam-nɛ̀ng	tam-nàeng
ติงต๊อง	ting-tong	dting-dtɔ́ng	ting-tóng
ติด	tit	dtìt	tìt
ติดดิน	tit-din	dtìt-din	tìt-din
ติดตาม	tit-tam	dtìt-dtaam	tìt-tam
ติดต่อ	tit-to	dtìt-dtɔ̀ɔ	tìt-tò
ติดเชื้อ	tit-chuea	dtìt-chʉ́ʉa	tìt-chúea
ตี	ti	dtii	ti
ตึก	tuek	dtʉ̀k	tùek
ตึกระฟ้า	tuek-ra-fa	dtʉ̀k-rá-fáa	tùek-rá-fá
ตึงเครียด	tueng-khriat	dtʉng-krîiat	tueng-khrîat
ตื่น	tuen	dtʉ̀ʉn	tùen
ตื่นขึ้น	tuen khuen	dtʉ̀ʉn kʉ̂n	tùen khuen
ตื่นตัว	tuen-tua	dtʉ̀ʉn-dtuua	tùen-tua
ตื่นนอน	tuen-non	dtʉ̀ʉn-nɔɔn	tùen-non
ตื่นเต้น	tuen-ten	dtʉ̀ʉn-dtên	tùen-tên
ตุรกี	tu-ra-ki	dtù-rá-gii	tù-rá-ki
ตุลา	tu-la	dtù-laa	tù-la
ตุลาคม	tu-la-khom	dtù-laa-kom	tù-la-khom
ตุ๊กตา	tuk-ka-ta	dtúk-gà-dtaa	túk-kà-ta
ตุ๊ด	tut	dtút	tút
ตู	tu	dtuu	tu
ตูด	tut	dtùut	tùt
ตูม	tum	dtuum	tum
ตู้	tu	dtûu	tû
ตู้เย็น	tu-yen	dtûu-yen	tû-yen
ตู้เสื้อผ้า	tu-suea-pha	dtûu-sʉ̂ʉa-pâa	tû-sûea-phâ
ต่อ	to	dtɔ̀ɔ	tò
ต่อต้าน	to-tan	dtɔ̀ɔ-dtâan	tò-tân
ต่อย	toi	dtɔ̀i	tòi
ต่อสู้	to-su	dtɔ̀ɔ-sûu	tò-sû
ต่อเนื่อง	to-nueang	dtɔ̀ɔ-nʉ̂ʉang	tò-nûeang
ต่อไป	to-pai	dtɔ̀ɔ-bpai	tò-pai
ต่าง	tang	dtàang	tàng
ต่าง ๆ	tang-tang	dtàang-dtàang	tàng-tàng
ต่างประเทศ	tang-pra-thet	dtàang-bprà-têet	tàng-prà-thêt
ต่างหาก	tang-hak	dtàang-hàak	tàng-hàk
ต่ำ	tam	dtàm	tàm
ต้น	ton	dtôn	tôn
ต้นฉบับ	ton-cha-bap	dtôn-chà-bàp	tôn-chà-bàp
ต้นไม้	ton-mai	dtôn-máai	tôn-mái
ต้มตุ๋น	tom-tun	dtôm-dtǔn	tôm-tǔn
ต้อง	tong	dtɔ̂ng	tông
ต้องการ	tong-kan	dtɔ̂ng-gaan	tông-kan
ต้องหา	tong-ha	dtɔ̂ng-hǎa	tông-hǎ
ต้อนรับ	ton-rap	dtɔ̂ɔn-ráp	tôn-ráp
ถกเถียง	thok-thiang	tòk-tǐiang	thòk-thǐang
ถนน	tha-non	tà-nǒn	thà-nǒn
ถวายบังคม	tha-wai-bang-khom	tà-wǎai-bang-kom	thà-wǎi-bang-khom
ถอด	thot	tɔ̀ɔt	thòt
ถอนใจ	thon-chai	tɔ̌ɔn-jai	thǒn-chai
ถอย	thoi	tɔ̌i	thǒi
ถะ	tha	tà	thà
ถัง	thang	tǎng	thǎng
ถังขยะ	thang-kha-ya	tǎng-kà-yà	thǎng-khà-yà
ถังแตก	thang-taek	tǎng-dtɛ̀ɛk	thǎng-tàek
ถั่ว	thua	tùua	thùa
ถาด	that	tàat	thàt
ถาม	tham	tǎam	thǎm
ถามจริง	tham-ching	tǎam-jing	thǎm-ching
ถึง	thueng	tʉ̌ng	thǔeng
ถึงอย่างนั้น	thueng yang nan	tʉ̌ng yàang nán	thǔeng yang nan
ถือ	thue	tʉ̌ʉ	thǔe
ถุง	thung	tǔng	thǔng
ถุงมือ	thung-mue	tǔng-mʉʉ	thǔng-mue
ถุงยาง	thung-yang	tǔng-yaang	thǔng-yang
ถุงเท้า	thung-thao	tǔng-táao	thǔng-tháo
ถุย	thui	tǔi	thǔi
ถู	thu	tǔu	thǔ
ถูก	thuk	tùuk	thùk
ถูกต้อง	thuk-tong	tùuk-dtɔ̂ng	thùk-tông
ถ่าย	thai	tàai	thài
ถ่ายรูป	thai-rup	tàai-rûup	thài-rûp
ถ้วย	thuai	tûai	thûai
ถ้า	tha	tâa	thâ
ถ้ำ	tham	tâm	thâm
ทดลอง	thot-long	tót-lɔɔng	thót-long
ทดสอบ	thot-sop	tót-sɔ̀ɔp	thót-sòp
ทน	thon	ton	thon
ทนาย	tha-nai	tá-naai	thá-nai
ทนายความ	tha-nai-khwam	tá-naai-kwaam	thá-nai-khwam
ทรง	song	song	song
ทรงผม	song-phom	song-pǒm	song-phǒm
ทรงพระเจริญ	song-phra-cha-roen	song-prá-jà-rəən	song-phrá-chà-roen
ทรมาน	tho-ra-man	tɔɔ-rá-maan	tho-rá-man
ทรยศ	tho-ra-yot	tɔɔ-rá-yót	tho-rá-yót
ทรัพย์สิน	sap-sin	sáp-sǐn	sáp-sǐn
ทราบ	sap	sâap	sâp
ทราย	sai	saai	sai
ทรายดูด	sai-dut	saai-dùut	sai-dùt
ทฤษฎี	thrit-sa-di	trít-sà-dii	thrít-sà-di
ทวิตเตอร์	tha-wit-toe	tá-wít-dtə̂ə	thá-wít-tôe
ทวีป	tha-wip	tá-wîip	thá-wîp
ทว่า	tha-wa	tá-wâa	thá-wâ
ทศวรรษ	thot-sa-wat	tót-sà-wát	thót-sà-wát
ทหาร	tha-han	tá-hǎan	thá-hǎn
ทหารรับจ้าง	tha-han-rap-chang	tá-hǎan-ráp-jâang	thá-hǎn-ráp-châng
ทหารเรือ	tha-han-ruea	tá-hǎan-rʉʉa	thá-hǎn-ruea
ทอ	tho	tɔɔ	tho
ทอง	thong	tɔɔng	thong
ทองคำ	thong-kham	tɔɔng-kam	thong-kham
ทองแดง	thong-daeng	tɔɔng-dɛɛng	thong-daeng
ทอด	thot	tɔ̂ɔt	thôt
ทอม	thom	tɔm	thom
ทอย	thoi	tɔɔi	thoi
ทอร์นาโด	tho-na-do	tɔɔ-naa-doo	tho-na-do
ทะเบียน	tha-bian	tá-biian	thá-bian
ทะเยอทะยาน	tha-yoe-tha-yan	tá-yəə-tá-yaan	thá-yoe-thá-yan
ทะเล	tha-le	tá-lee	thá-le
ทะเลทราย	tha-le-sai	tá-lee-saai	thá-le-sai
ทะเลสาบ	tha-le-sap	tá-lee-sàap	thá-le-sàp
ทะเลสาป	tha-le-sap	tá-lee-sàap	thá-le-sàp
ทะเลาะ	tha-lo	tá-lɔ́	thá-ló
ทัก	thak	ták	thák
ทักทาย	thak-thai	ták-taai	thák-thai
ทักษะ	thak-sa	ták-sà	thák-sà
ทัน	than	tan	than
ทันที	than-thi	tan-tii	than-thi
ทับทิม	thap-thim	táp-tim	tháp-thim
ทัวร์	thua	tuua	thua
ทัศนคติ	that-sa-na-kha-ti	tát-sà-ná-ká-dtì	thát-sà-ná-khá-tì
ทั่ว	thua	tûua	thûa
ทั่วโลก	thua-lok	tûua-lôok	thûa-lôk
ทั่วไป	thua-pai	tûua-bpai	thûa-pai
ทั้ง	thang	táng	tháng
ทั้งคู่	thang-khu	táng-kûu	tháng-khû
ทั้งวัน	thang-wan	táng-wan	tháng-wan
ทั้งหมด	thang-mot	táng-mòt	tháng-mòt
ทั้งหลาย	thang-lai	táng-lǎai	tháng-lǎi
ทา	tha	taa	tha
ทาง	thang	taang	thang
ทางขวา	thang-khwa	taang-kwǎa	thang-khwǎ
ทางซ้าย	thang-sai	taang-sáai	thang-sái
ทางตัน	thang-tan	taang-dtan	thang-tan
ทางลัด	thang-lat	taang-lát	thang-lát
ทางหลวง	thang-luang	taang-lǔuang	thang-lǔang
ทางออก	thang-ok	taang-ɔ̀ɔk	thang-òk
ทางออกฉุกเฉิน	thang-ok-chuk-choen	taang-ɔ̀ɔk-chùk-chə̌ən	thang-òk-chùk-chǒen
ทางเข้า	thang-khao	taang-kâo	thang-khâo
ทางเดิน	thang-doen	taang-dəən	thang-doen
ทางเลือก	thang-lueak	taang-lʉ̂ʉak	thang-lûeak
ทาน	than	taan	than
ทานข้าว	than-khao	taan-kâao	than-khâo
ทานให้อร่อยนะ	than hai a-roi na	taan hâi à-rɔ̀i ná	thân hai a-ròi na
ทารก	tha-rok	taa-rók	tha-rók
ทาส	that	tâat	thât
ทาสี	tha-si	taa-sǐi	tha-sǐ
ทำ	tham	tam	tham
ทำการบ้าน	tham-kan-ban	tam-gaan-bâan	tham-kan-bân
ทำความสะอาด	tham-khwam-sa-at	tam-kwaam-sà-àat	tham-khwam-sà-àt
ทำงาน	tham-ngan	tam-ngaan	tham-ngan
ทำงานหนัก	tham-ngan-nak	tam-ngaan-nàk	tham-ngan-nàk
ทำนาย	tham-nai	tam-naai	tham-nai
ทำผิด	tham-phit	tam-pìt	tham-phìt
ทำร้าย	tham-rai	tam-ráai	tham-rái
ทำลาย	tham-lai	tam-laai	tham-lai
ทำอาหาร	tham-a-han	tam-aa-hǎan	tham-a-hǎn
ทำเนียบขาว	tham-niap-khao	tam-nîiap-kǎao	tham-nîap-khǎo
ทำให้	tham-hai	tam-hâi	tham-hâi
ทำไม	tham-mai	tam-mai	tham-mai
ทิชชู่	thit-chu	tít-chûu	thít-chû
ทิป	thip	típ	thíp
ทิศทาง	thit-thang	tít-taang	thít-thang
ทิ้ง	thing	tíng	thíng
ทิ้งระเบิด	thing-ra-boet	tíng-rá-bə̀ət	thíng-rá-bòet
ที	thi	tii	thi
ทีม	thim	tiim	thim
ทีมงาน	thim-ngan	tiim-ngaan	thim-ngan
ทีละ	thi-la	tii-lá	thi-lá
ทีวี	thi-wi	tii-wii	thi-wi
ทีหลัง	thi-lang	tii-lǎng	thi-lǎng
ที่	thi	tîi	thî
ที่จอดรถ	thi-chot-rot	tîi-jɔ̀ɔt-rót	thî-chòt-rót
ที่ดิน	thi-din	tîi-din	thî-din
ที่ทำงาน	thi-tham-ngan	tîi-tam-ngaan	thî-tham-ngan
ที่นั่ง	thi-nang	tîi-nâng	thî-nâng
ที่นั่น	thi-nan	tîi-nân	thî-nân
ที่นี่	thi-ni	tîi-nîi	thî-nî
ที่ประชุม	thi-pra-chum	tîi-bprà-chum	thî-prà-chum
ที่ปรึกษา	thi-pruek-sa	tîi-bprʉ̀k-sǎa	thî-prùek-sǎ
ที่พัก	thi-phak	tîi-pák	thî-phák
ที่มา	thi-ma	tîi-maa	thî-ma
ที่รัก	thi-rak	tîi-rák	thî-rák
ที่สอง	thi-song	tîi-sɔ̌ɔng	thî-sǒng
ที่สาม	thi-sam	tîi-sǎam	thî-sǎm
ที่สุด	thi-sut	tîi-sùt	thî-sùt
ที่หนึ่ง	thi-nueng	tîi-nʉ̀ng	thî-nùeng
ที่อยู่	thi-yu	tîi-yùu	thî-yù
ที่อื่น	thi-uen	tîi-ʉ̀ʉn	thî-ùen
ที่แท้	thi-thae	tîi-tɛ́ɛ	thî-tháe
ที่แล้ว	thi-laeo	tîi-lɛ́ɛo	thî-láeo
ที่ไหน	thi-nai	tîi-nǎi	thî-nǎi
ทึ่ม	thuem	tʉ̂m	thûem
ทุก	thuk	túk	thúk
ทุกคน	thuk-khon	túk-kon	thúk-khon
ทุกครั้ง	thuk-khrang	túk-kráng	thúk-khráng
ทุกที	thuk thi	túk tii	thúk thi
ทุกท่าน	thuk-than	túk-tân	thúk-thân
ทุกวัน	thuk-wan	túk-wan	thúk-wan
ทุกวันนี้	thuk-wan-ni	túk-wan-níi	thúk-wan-ní
ทุกสิ่ง	thuk-sing	túk-sìng	thúk-sìng
ทุกสิ่งทุกอย่าง	thuk-sing-thuk-yang	túk-sìng-túk-yàang	thúk-sìng-thúk-yàng
ทุกอย่าง	thuk-yang	túk-yàang	thúk-yàng
ทุบ	thup	túp	thúp
ทุเรศ	thu-ret	tú-rêet	thú-rêt
ทุ่งหญ้า	thung-ya	tûng-yâa	thûng-yâ
ทุ่ม	thum	tûm	thûm
ทู	thu	tuu	thu
ทูน	thun	tuun	thun
ทูนหัว	thun-hua	tuun-hǔua	thun-hǔa
ทูน่า	thu-na	tuu-nâa	thu-nâ
ท่อ	tho	tɔ̂ɔ	thô
ท่องเที่ยว	thong-thiao	tɔ̂ng-tîao	thông-thîao
ท่อน	thon	tɔ̂n	thôn
ท่า	tha	tâa	thâ
ท่าทาง	tha-thang	tâa-taang	thâ-thang
ท่าน	than	tâan	thân
ท่าเรือ	tha-ruea	tâa-rʉʉa	thâ-ruea
ท้อง	thong	tɔ́ɔng	thóng
ท้องถิ่น	thong-thin	tɔ́ɔng-tìn	thóng-thìn
ท้องฟ้า	thong-fa	tɔ́ɔng-fáa	thóng-fá
ท้าทาย	tha-thai	táa-taai	thá-thai
ธ.ค.	tho-kho	tɔɔ-kɔɔ	tho-kho
ธง	thong	tong	thong
ธงชาติ	thong-chat	tong-châat	thong-chât
ธนาคาร	tha-na-khan	tá-naa-kaan	thá-na-khan
ธนู	tha-nu	tá-nuu	thá-nu
ธรรมชาติ	tham-ma-chat	tam-má-châat	tham-má-chât
ธรรมดา	tham-ma-da	tam-má-daa	tham-má-da
ธันวา	than-wa	tan-waa	than-wa
ธันวาคม	than-wa-khom	tan-waa-kom	than-wa-khom
ธุรกิจ	thu-ra-kit	tú-rá-gìt	thú-rá-kìt
ธุระ	thu-ra	tú-rá	thú-rá
น.	no	nɔɔ	no
นก	nok	nók	nók
นกหวีด	nok-wit	nók-wìit	nók-wìt
นม	nom	nom	nom
นมัสการ	na-mat-sa-kan	ná-mát-sà-gaan	ná-mát-sà-kan
นรก	na-rok	ná-rók	ná-rók
นวด	nuat	nûuat	nûat
นวนิยาย	na-wa-ni-yai	ná-wá-ní-yaai	ná-wá-ní-yai
นอก	nok	nɔ̂ɔk	nôk
นอกจาก	nok-chak	nɔ̂ɔk-jàak	nôk-chàk
นอกใจ	nok-chai	nɔ̂ɔk-jai	nôk-chai
นอง	nong	nɔɔng	nong
นอต	not	nɔ́t	nót
นอน	non	nɔɔn	non
นอนหลับ	non-lap	nɔɔn-làp	non-làp
นะ	na	ná	ná
นัก	nak	nák	nák
นักการทูต	nak-kan-thut	nák-gaan-tûut	nák-kan-thût
นักการเมือง	nak-kan-mueang	nák-gaan-mʉʉang	nák-kan-mueang
นักกีฬา	nak-ki-la	nák-gii-laa	nák-ki-la
นักข่าว	nak-khao	nák-kàao	nák-khào
นักดนตรี	nak-don-tri	nák-don-dtrii	nák-don-tri
นักดาราศาสตร์	nak-da-ra-sat	nák-daa-raa-sàat	nák-da-ra-sàt
นักต้มตุ๋น	nak-tum-tun	nák-dtûm-dtǔn	nák-tûm-tǔn
นักท่องเที่ยว	nak-thong-thiao	nák-tɔ̂ng-tîao	nák-thông-thîao
นักธุรกิจ	nak-thu-ra-kit	nák-tú-rá-gìt	nák-thú-rá-kìt
นักบวช	nak-buat	nák-bùuat	nák-bùat
นักบัญชี	nak-ban-chi	nák-ban-chii	nák-ban-chi
นักบิน	nak-bin	nák-bin	nák-bin
นักบินอวกาศ	nak-bin-a-wa-kat	nák-bin-à-wá-gàat	nák-bin-à-wá-kàt
นักบุญ	nak-bun	nák-bun	nák-bun
นักฟิสิกส์	nak-fi-sik	nák-fí-sìk	nák-fí-sìk
นักมวย	nak-muai	nák-muai	nák-muai
นักมายากล	nak-ma-ya-kon	nák-maa-yaa-gon	nák-ma-ya-kon
นักรบ	nak-rop	nák-róp	nák-róp
นักร้อง	nak-rong	nák-rɔ́ɔng	nák-róng
นักลงทุน	nak-long-thun	nák-long-tun	nák-long-thun
นักล่า	nak-la	nák-lâa	nák-lâ
นักวิทยาศาสตร์	nak-wit-tha-ya-sat	nák-wít-tá-yaa-sàat	nák-wít-thá-ya-sàt
นักวิเคราะห์	nak-wi-khro	nák-wí-krɔ́	nák-wí-khró
นักศึกษา	nak-suek-sa	nák-sʉ̀k-sǎa	nák-sùek-sǎ
นักสืบ	nak-suep	nák-sʉ̀ʉp	nák-sùep
นักเขียน	nak-khian	nák-kǐian	nák-khǐan
นักเดินทาง	nak-doen-thang	nák-dəən-taang	nák-doen-thang
นักเต้น	nak-ten	nák-dtên	nák-tên
นักเรียน	nak-rian	nák-riian	nák-rian
นักเลง	nak-leng	nák-leeng	nák-leng
นักแสดง	nak-sa-daeng	nák-sà-dɛɛng	nák-sà-daeng
นักโทษ	nak-thot	nák-tôot	nák-thôt
นัด	nat	nát	nát
นัดหมาย	nat-mai	nát-mǎai	nát-mǎi
นับ	nap	náp	náp
นับถือ	nap-thue	náp-tʉ̌ʉ	náp-thǔe
นับไม่ถ้วน	nap-mai-thuan	náp-mâi-tûuan	náp-mâi-thûan
นั่ง	nang	nâng	nâng
นั่น	nan	nân	nân
นั่นเอง	nan-eng	nân-eeng	nân-eng
นั้น	nan	nán	nán
นา	na	naa	na
นาง	nang	naang	nang
นางฟ้า	nang-fa	naang-fáa	nang-fá
นางสาว	nang-sao	naang-sǎao	nang-sǎo
นางแบบ	nang-baep	naang-bɛ̀ɛp	nang-bàep
นาซี	na-si	naa-sii	na-si
นาที	na-thi	naa-tii	na-thi
นาน	nan	naan	nan
นานมาแล้ว	nan-ma-laeo	naan-maa-lɛ́ɛo	nan-ma-láeo
นานา	na-na	naa-naa	na-na
นาม	nam	naam	nam
นามสกุล	nam-sa-kun	naam-sà-gun	nam-sà-kun
นาย	nai	naai	nai
นายกรัฐมนตรี	na-yok-rat-tha-mon-tri	naa-yók-rát-tà-mon-dtrii	na-yók-rát-thà-mon-tri
นายกฯ	na-yok	naa-yók	na-yók
นายกเทศมนตรี	na-yok-thet-sa-mon-tri	naa-yók-têet-sà-mon-dtrii	na-yók-thêt-sà-mon-tri
นายอำเภอ	nai-am-phoe	naai-am-pəə	nai-am-phoe
นายใหญ่	nai-yai	naai-yài	nai-yài
นาวิก	na-wik	naa-wík	na-wík
นาฬิกา	na-li-ka	naa-lí-gaa	na-lí-ka
นาฬิกาข้อมือ	na-li-ka-kho-mue	naa-lí-gaa-kɔ̂ɔ-mʉʉ	na-lí-ka-khô-mue
นาฬิกาทราย	na-li-ka-sai	naa-lí-gaa-saai	na-lí-ka-sai
นำ	nam	nam	nam
นิคม	ni-khom	ní-kom	ní-khom
นิด	nit	nít	nít
นิดหน่อย	nit-noi	nít-nɔ̀i	nít-nòi
นิตยสาร	nit-ta-ya-san	nít-dtà-yá-sǎan	nít-tà-yá-sǎn
นินจา	nin-cha	nin-jaa	nin-cha
นิมิต	ni-mit	ní-mít	ní-mít
นิยาย	ni-yai	ní-yaai	ní-yai
นิรนาม	ni-ra-nam	ní-rá-naam	ní-rá-nam
นิว	nio	niu	nio
นิวซีแลนด์	nio-si-laen	niu-sii-lɛɛn	nio-si-laen
นิวยอร์ก	nio-yok	niu-yɔ̀ɔk	nio-yòk
นิวเคลียร์	nio-khlia	niu-kliia	nio-khlia
นิวเจอร์ซีย์	nio-choe-si	niu-jəə-sîi	nio-choe-sî
นิวเม็กซิโก	nio-mek-si-ko	niu-mék-sí-goo	nio-mék-sí-ko
นิโกร	ni-kro	ní-groo	ní-kro
นิ่ง	ning	nîng	nîng
นิ้ว	nio	níu	nío
นิ้วก้อย	nio-koi	níu-gɔ̂ɔi	nío-kôi
นิ้วเท้า	nio-thao	níu-táao	nío-tháo
นี่	ni	nîi	nî
นี้	ni	níi	ní
นุ่ม	num	nûm	nûm
นุ่มนวล	num-nuan	nûm-nuuan	nûm-nuan
น่ะ	na	nâ	nâ
น่า	na	nâa	nâ
น่ากลัว	na-klua	nâa-gluua	nâ-klua
น่ากิน	na-kin	nâa-gin	nâ-kin
น่าขายหน้า	na-khai-na	nâa-kǎai-nâa	nâ-khǎi-nâ
น่ารัก	na-rak	nâa-rák	nâ-rák
น่ารังเกียจ	na-rang-kiat	nâa-rang-gìiat	nâ-rang-kìat
น่ารำคาญ	na-ram-khan	nâa-ram-kaan	nâ-ram-khan
น่าสงสัย	na-song-sai	nâa-sǒng-sǎi	nâ-sǒng-sǎi
น่าสงสาร	na-song-san	nâa-sǒng-sǎan	nâ-sǒng-sǎn
น่าสน	na-son	nâa-sǒn	nâ-sǒn
น่าสนใจ	na-son-chai	nâa-sǒn-jai	nâ-sǒn-chai
น่าสมเพช	na-som-phet	nâa-sǒm-pêet	nâ-sǒm-phêt
น่าอาย	na-ai	nâa-aai	nâ-ai
น่าเกลียด	na-kliat	nâa-glìiat	nâ-klìat
น่าเชื่อ	na-chuea	nâa-chʉ̂ʉa	nâ-chûea
น่าเบื่อ	na-buea	nâa-bʉ̀ʉa	nâ-bùea
น่าเสียดาย	na-sia-dai	nâa-sǐia-daai	nâ-sǐa-dai
น้อง	nong	nɔ́ɔng	nóng
น้องชาย	nong-chai	nɔ́ɔng-chaai	nóng-chai
น้องสาว	nong-sao	nɔ́ɔng-sǎao	nóng-sǎo
น้อย	noi	nɔ́ɔi	nói
น้า	na	náa	ná
น้ำ	nam	náam	nám
น้ำชา	nam-cha	náam-chaa	nám-cha
น้ำดื่ม	nam-duem	náam-dʉ̀ʉm	nám-dùem
น้ำตก	nam-tok	náam-dtòk	nám-tòk
น้ำตา	nam-ta	nám-dtaa	nám-ta
น้ำตาล	nam-tan	nám-dtaan	nám-tan
น้ำท่วม	nam-thuam	náam-tûuam	nám-thûam
น้ำผลไม้	nam-phon-la-mai	náam-pǒn-lá-máai	nám-phǒn-lá-mái
น้ำผึ้ง	nam-phueng	nám-pʉ̂ng	nám-phûeng
น้ำพุ	nam-phu	náam-pú	nám-phú
น้ำมะนาว	nam-ma-nao	nám-má-naao	nám-má-nao
น้ำมัน	nam-man	nám-man	nám-man
น้ำส้ม	nam-som	náam-sôm	nám-sôm
น้ำหนัก	nam-nak	nám-nàk	nám-nàk
น้ำหอม	nam-hom	náam-hɔ̌ɔm	nám-hǒm
น้ำเงิน	nam-ngoen	nám-ngən	nám-ngoen
น้ำเปล่า	nam-plao	náam-bplào	nám-plào
น้ำแข็ง	nam-khaeng	nám-kɛ̌ng	nám-khǎeng
บก	bok	bòk	bòk
บท	bot	bòt	bòt
บทกวี	bot-ka-wi	bòt-gà-wii	bòt-kà-wi
บทความ	bot-khwam	bòt-kwaam	bòt-khwam
บทเรียน	bot-rian	bòt-riian	bòt-rian
บน	bon	bon	bon
บรรจุ	ban-chu	ban-jù	ban-chù
บรรณาธิการ	ban-na-thi-kan	ban-naa-tí-gaan	ban-na-thí-kan
บรรทัด	ban-that	ban-tát	ban-thát
บรรพบุรุษ	ban-pha-bu-rut	ban-pá-bù-rùt	ban-phá-bù-rùt
บรรยากาศ	ban-ya-kat	ban-yaa-gàat	ban-ya-kàt
บรรยาย	ban-yai	ban-yaai	ban-yai
บรรลุ	ban-lu	ban-lú	ban-lú
บรั่นดี	ba-ran-di	bà-ràn-dii	bà-ràn-di
บราซิล	bra-sin	braa-sil	bra-sin
บราวนี่	brao-ni	braao-nîi	brao-nî
บริการ	bo-ri-kan	bɔɔ-rí-gaan	bo-rí-kan
บริจาค	bo-ri-chak	bɔɔ-rí-jàak	bo-rí-chàk
บริดจ์	brit	brìt	brìt
บริบท	bo-ri-bot	bɔɔ-rí-bòt	bo-rí-bòt
บริษัท	bo-ri-sat	bɔɔ-rí-sàt	bo-rí-sàt
บริสุทธิ์	bo-ri-sut	bɔɔ-rí-sùt	bo-rí-sùt
บริเวณ	bo-ri-wen	bɔɔ-rí-ween	bo-rí-wen
บริโภค	bo-ri-phok	bɔɔ-rí-pôok	bo-rí-phôk
บล็อก	blok	blɔ́k	blók
บวก	buak	bùuak	bùak
บอ	bo	bɔɔ	bo
บอก	bok	bɔ̀ɔk	bòk
บอมบ์	bom	bɔm	bom
บอร์ด	bot	bɔ̀ɔt	bòt
บอล	bon	bɔn	bon
บอส	bot	bɔ́ɔt	bót
บะหมี่	ba-mi	bà-mìi	bà-mì
บัคเก็ต	bak-ket	bák-gêt	bák-kêt
บัง	bang	bang	bang
บังคับ	bang-khap	bang-káp	bang-kháp
บังเอิญ	bang-oen	bang-əən	bang-oen
บัญชี	ban-chi	ban-chii	ban-chi
บัด	bat	bàt	bàt
บัดซบ	bat-sop	bàt-sóp	bàt-sóp
บัดนี้	bat-ni	bàt-níi	bàt-ní
บัตร	bat	bàt	bàt
บัตรประจำตัว	bat-pra-cham-tua	bàt-bprà-jam-dtuua	bàt-prà-cham-tua
บัตรประชาชน	bat-pra-cha-chon	bàt-bprà-chaa-chon	bàt-prà-cha-chon
บัตรเครดิต	bat-khre-dit	bàt-kree-dìt	bàt-khre-dìt
บันดาล	ban-dan	ban-daan	ban-dan
บันทึก	ban-thuek	ban-tʉ́k	ban-thúek
บันได	ban-dai	ban-dai	ban-dai
บัส	bat	bát	bát
บา	ba	baa	ba
บาง	bang	baang	bang
บางคน	bang-khon	baang-kon	bang-khon
บางครั้ง	bang-khrang	baang-kráng	bang-khráng
บางที	bang-thi	baang-tii	bang-thi
บางสิ่ง	bang-sing	baang-sìng	bang-sìng
บาดเจ็บ	bat-chep	bàat-jèp	bàt-chèp
บาดแผล	bat-phlae	bàat-plɛ̌ɛ	bàt-phlǎe
บาท	bat	bàat	bàt
บาทหลวง	bat-luang	bàat-lǔuang	bàt-lǔang
บาน	ban	baan	ban
บาป	bap	bàap	bàp
บาย	bai	baai	bai
บาร์	ba	baa	ba
บาล	ban	baan	ban
บาหลี	ba-li	baa-lǐi	ba-lǐ
บำบัด	bam-bat	bam-bàt	bam-bàt
บิชอป	bi-chop	bì-chɔ́p	bì-chóp
บิด	bit	bìt	bìt
บิน	bin	bin	bin
บิล	bin	bin	bin
บิ๊ก	bik	bík	bík
บิ๊กฟุต	bik-fut	bík-fút	bík-fút
บี	bi	bii	bi
บีบ	bip	bìip	bìp
บีเวอร์	bi-woe	bii-wə̂ə	bi-wôe
บุ	bu	bù	bù
บุก	buk	bùk	bùk
