word	rtgs	tone	phonetics
กล้าหาญ	kla-han	glâa-hǎan	klâ-hǎn
กวาง	kwang	gwaang	kwang
กวี	ka-wi	gà-wii	kà-wi
กว่า	kwa	gwàa	kwà
กว้าง	kwang	gwâang	kwâng
กษัตริย์	ka-sat	gà-sàt	kà-sàt
กอ	ko	gɔɔ	ko
กอง	kong	gɔɔng	kong
กองกำลัง	kong-kam-lang	gɔɔng-gam-lang	kong-kam-lang
กองทัพ	kong-thap	gɔɔng-táp	kong-tháp
กองทัพอากาศ	kong-thap-a-kat	gɔɔng-táp-aa-gàat	kong-tháp-a-kàt
กองร้อย	kong-roi	gɔɔng-rɔ́ɔi	kong-rói
กอด	kot	gɔ̀ɔt	kòt
กอลลัม	kon-lam	gɔn-lâm	kon-lâm
กอล์ฟ	kop	gɔ́ɔp	kóp
กะ	ka	gà	kà
กะลาสี	ka-la-si	gà-laa-sǐi	kà-la-sǐ
กะหรี่	ka-ri	gà-rìi	kà-rì
กะหล่ำปลี	ka-lam-pli	gà-làm-bplii	kà-làm-pli
กะโหลก	ka-lok	gà-lòok	kà-lòk
กัง	kang	gang	kang
กังฟู	kang-fu	gang-fuu	kang-fu
กังวล	kang-won	gang-won	kang-won
กัญชา	kan-cha	gan-chaa	kan-cha
กัด	kat	gàt	kàt
กัน	kan	gan	kan
กันกระสุน	kan-kra-sun	gan-grà-sǔn	kan-krà-sǔn
กันยา	kan-ya	gan-yaa	kan-ya
กันยายน	kan-ya-yon	gan-yaa-yon	kan-ya-yon
กันและกัน	kan-lae-kan	gan-lɛ́-gan	kan-láe-kan
กับ	kap	gàp	kàp
กับดัก	kap-dak	gàp-dàk	kàp-dàk
กัปตัน	kap-tan	gàp-dtan	kàp-tan
กัวเตมาลา	kua-te-ma-la	guua-dtee-maa-laa	kua-te-ma-la
กา	ka	gaa	ka
กาง	kang	gaang	kang
กางเกง	kang-keng	gaang-geeng	kang-keng
กางเกงใน	kang-keng-nai	gaang-geeng-nai	kang-keng-nai
กาย	kai	gaai	kai
การ	kan	gaan	kan
การกระทำ	kan-kra-tham	gaan-grà-tam	kan-krà-tham
การกิน	kan-kin	gaan-gin	kan-kin
การก่อการร้าย	kan-ko-kan-rai	gaan-gɔ̀ɔ-gaan-ráai	kan-kò-kan-rái
การขนส่ง	kan-khon-song	gaan-kǒn-sòng	kan-khǒn-sòng
การควบคุม	kan-khuap-khum	gaan-kûuap-kum	kan-khûap-khum
การค้นหา	kan-khon-ha	gaan-kón-hǎa	kan-khón-hǎ
การฆ่า	kan-kha	gaan-kâa	kan-khâ
การฆ่าตัวตาย	kan-kha-tua-tai	gaan-kâa-dtuua-dtaai	kan-khâ-tua-tai
การซักรีด	kan-sak-rit	gaan-sák-rîit	kan-sák-rît
การดิ้นรน	kan-din-ron	gaan-dîn-ron	kan-dîn-ron
การดื่ม	kan-duem	gaan-dʉ̀ʉm	kan-dùem
การตัดสินใจ	kan-tat-sin-chai	gaan-dtàt-sǐn-jai	kan-tàt-sǐn-chai
การต่อต้าน	kan-to-tan	gaan-dtɔ̀ɔ-dtâan	kan-tò-tân
การต่อสู้	kan-to-su	gaan-dtɔ̀ɔ-sûu	kan-tò-sû
การทดลอง	kan-thot-long	gaan-tót-lɔɔng	kan-thót-long
การทดสอบ	kan-thot-sop	gaan-tót-sɔ̀ɔp	kan-thót-sòp
การทราบ	kan-sap	gaan-sâap	kan-sâp
การท่องเที่ยว	kan-thong-thiao	gaan-tɔ̂ng-tîao	kan-thông-thîao
การบิน	kan-bin	gaan-bin	kan-bin
การบ้าน	kan-ban	gaan-bâan	kan-bân
การปฏิวัติ	kan-pa-ti-wat	gaan-bpà-dtì-wát	kan-pà-tì-wát
การประชุม	kan-pra-chum	gaan-bprà-chum	kan-prà-chum
การป้องกัน	kan-pong-kan	gaan-bpɔ̂ng-gan	kan-pông-kan
การผจญภัย	kan-pha-chon-phai	gaan-pà-jon-pai	kan-phà-chon-phai
การผ่าตัด	kan-pha-tat	gaan-pàa-dtàt	kan-phà-tàt
การพนัน	kan-pha-nan	gaan-pá-nan	kan-phá-nan
การพูด	kan-phut	gaan-pûut	kan-phût
การระเบิด	kan-ra-boet	gaan-rá-bə̀ət	kan-rá-bòet
การรักษา	kan-rak-sa	gaan-rák-sǎa	kan-rák-sǎ
การลอบสังหาร	kan-lop-sang-han	gaan-lɔ̂ɔp-sǎng-hǎan	kan-lôp-sǎng-hǎn
การวิเคราะห์	kan-wi-khro	gaan-wí-krɔ́	kan-wí-khró
การศึกษา	kan-suek-sa	gaan-sʉ̀k-sǎa	kan-sùek-sǎ
การสังหารหมู่	kan-sang-han-mu	gaan-sǎng-hǎan-mùu	kan-sǎng-hǎn-mù
การสัมผัส	kan-sam-phat	gaan-sǎm-pàt	kan-sǎm-phàt
การสืบสวน	kan-suep-suan	gaan-sʉ̀ʉp-sǔuan	kan-sùep-sǔan
การสื่อสาร	kan-sue-san	gaan-sʉ̀ʉ-sǎan	kan-sùe-sǎn
การหายใจ	kan-hai-chai	gaan-hǎai-jai	kan-hǎi-chai
การออกกำลังกาย	kan-ok-kam-lang-kai	gaan-ɔ̀ɔk-gam-lang-gaai	kan-òk-kam-lang-kai
การเขียน	kan-khian	gaan-kǐian	kan-khǐan
การเคลื่อนไหว	kan-khluean-wai	gaan-klʉ̂ʉan-wǎi	kan-khlûean-wǎi
การเงิน	kan-ngoen	gaan-ngən	kan-ngoen
การเจรจา	kan-che-ra-cha	gaan-jee-rá-jaa	kan-che-rá-cha
การเดินทาง	kan-doen-thang	gaan-dəən-taang	kan-doen-thang
การเต้นรำ	kan-ten-ram	gaan-dtên-ram	kan-tên-ram
การเปลี่ยนแปลง	kan-plian-plaeng	gaan-bplìian-bplɛɛng	kan-plìan-plaeng
การเมือง	kan-mueang	gaan-mʉʉang	kan-mueang
การเรียน	kan-rian	gaan-riian	kan-rian
การเลือกตั้ง	kan-lueak-tang	gaan-lʉ̂ʉak-dtâng	kan-lûeak-tâng
การแข่งขัน	kan-khaeng-khan	gaan-kɛ̀ng-kǎn	kan-khàeng-khǎn
การแต่งงาน	kan-taeng-ngan	gaan-dtɛ̀ɛng-ngaan	kan-tàeng-ngan
การแสดง	kan-sa-daeng	gaan-sà-dɛɛng	kan-sà-daeng
การโกหก	kan-ko-hok	gaan-goo-hòk	kan-ko-hòk
การโจมตี	kan-chom-ti	gaan-joom-dtii	kan-chom-ti
การให้อภัย	kan-hai-a-phai	gaan-hâi-à-pai	kan-hâi-à-phai
การ์ด	kat	gáat	kát
การ์ตูน	ka-tun	gaa-dtuun	ka-tun
กาลครั้งหนึ่ง	ka-la-khrang-nueng	gaa-lá-kráng-nʉ̀ng	ka-lá-khráng-nùeng
กาลี	ka-li	gaa-lii	ka-li
กาแฟ	ka-fae	gaa-fɛɛ	ka-fae
กำกับ	kam-kap	gam-gàp	kam-kàp
กำจัด	kam-chat	gam-jàt	kam-chàt
กำปั้น	kam-pan	gam-bpân	kam-pân
กำมะถัน	kam-ma-than	gam-má-tǎn	kam-má-thǎn
กำลัง	kam-lang	gam-lang	kam-lang
กำแพง	kam-phaeng	gam-pɛɛng	kam-phaeng
กิจกรรม	kit-cha-kam	gìt-jà-gam	kìt-chà-kam
กิน	kin	gin	kin
กินข้าว	kin-khao	gin-kâao	kin-khâo
กิมจิ	kim-chi	gim-jì	kim-chì
กิโล	ki-lo	gì-loo	kì-lo
กิโลกรัม	ki-lo-kram	gì-loo-gram	kì-lo-kram
กิโลเมตร	ki-lo-met	gì-loo-méet	kì-lo-mét
กิ๊ก	kik	gík	kík
กี	ki	gii	ki
กีตาร์	ki-ta	gii-dtâa	ki-tâ
กีฬา	ki-la	gii-laa	ki-la
กี่	ki	gìi	kì
กี่โมง	ki-mong	gìi-moong	kì-mong
กุ	ku	gù	kù
